move;possible_moves;completion_message
0;[3];0
1;[3,1];0
2;[1,2];0
3;[2,0];0
4;[3,0];0
5;[3,1];0
6;[3,1];0
7;[3,1];0
8;[1,2,0];0
9;[2,0];0
10;[1,0];0
11;[3,1];0
12;[3,2];0
13;[2,0];0
14;[1,0];0
15;[3,1];0
16;[3,1,0];0
17;[3,1];0
18;[3,2];0
19;[2,0];0
20;[3,0];0
21;[3,1];0
22;[3,1];0
23;[3,1];0
24;[3,1];0
25;[3,1];0
26;[3,1,0];0
27;[2,0];0
28;[3,2];0
29;[2,0];0
30;[3,1,0];0
31;[3,1];0
32;[3,1];0
33;[3,1];0
34;[3,1];0
35;[3,1];0
36;[3,1];0
37;[3,1];0
38;[3,1];0
39;[3,1];0
40;[3,0];0
41;[3,0];0
42;[3,1];0
43;[3,1];0
44;[3,1];0
45;[3,1];0
46;[3,1];0
47;[3,1];0
48;[3,1];0
49;[3,1];0
50;[3,1];0
51;[3,1];0
52;[3,1];0
53;[3,1,0];0
54;[3,1];0
55;[1];1
