move,possible_moves,completion_status
001,2,0
002,"0,2",0
003,"0,3",0
004,"1,3",0
005,"1,3",0
006,"1,3",0
007,"1,3",0
008,"1,3",0
009,"0,1",0
010,"0,2",0
011,"1,2,3",0
012,"1,3",0
013,"1,2",0
014,"0,2",0
015,"0,2",0
016,"0,2",0
017,"0,1",0
018,"1,3",0
019,"2,3",0
020,"0,2",0
021,"0,1",0
022,"1,3",0
023,"0,3",0
024,"0,2",0
025,"1,2",0
026,"1,3",0
027,"2,3",0
028,"0,2",0
029,"0,1",0
030,"1,3",0
031,"0,2,3",0
032,"0,2",0
033,"0,3",0
034,"1,3",0
035,"1,3",0
036,"1,3",0
037,"1,3",0
038,"1,3",0
039,"1,3",0
040,"1,3",0
